"n_r","variant","rho","gamma","kappa","treated_nuisance","calibration","scenario","n_o","setting"
500,"nonprognostic",0,0,0,"linear","intercept",5,2000,"s5_n500_nonprognostic_rho0_g0_k0_linear_intercept"
200,"nonprognostic",0,1,0,"linear","intercept",5,2000,"s5_n200_nonprognostic_rho0_g1_k0_linear_intercept"
500,"nonprognostic",0,1,0,"linear","intercept",5,2000,"s5_n500_nonprognostic_rho0_g1_k0_linear_intercept"
200,"nonprognostic",0,0,1,"linear","intercept",5,2000,"s5_n200_nonprognostic_rho0_g0_k1_linear_intercept"
500,"nonprognostic",0,0,1,"linear","intercept",5,2000,"s5_n500_nonprognostic_rho0_g0_k1_linear_intercept"
200,"nonprognostic",0,1,1,"linear","intercept",5,2000,"s5_n200_nonprognostic_rho0_g1_k1_linear_intercept"
500,"nonprognostic",0,1,1,"linear","intercept",5,2000,"s5_n500_nonprognostic_rho0_g1_k1_linear_intercept"
200,"nonprognostic",0,0,0,"sine","intercept",5,2000,"s5_n200_nonprognostic_rho0_g0_k0_sine_intercept"
500,"nonprognostic",0,0,0,"sine","intercept",5,2000,"s5_n500_nonprognostic_rho0_g0_k0_sine_intercept"
200,"nonprognostic",0,1,0,"sine","intercept",5,2000,"s5_n200_nonprognostic_rho0_g1_k0_sine_intercept"
500,"nonprognostic",0,1,0,"sine","intercept",5,2000,"s5_n500_nonprognostic_rho0_g1_k0_sine_intercept"
200,"nonprognostic",0,0,1,"sine","intercept",5,2000,"s5_n200_nonprognostic_rho0_g0_k1_sine_intercept"
500,"nonprognostic",0,0,1,"sine","intercept",5,2000,"s5_n500_nonprognostic_rho0_g0_k1_sine_intercept"
200,"nonprognostic",0,1,1,"sine","intercept",5,2000,"s5_n200_nonprognostic_rho0_g1_k1_sine_intercept"
500,"nonprognostic",0,1,1,"sine","intercept",5,2000,"s5_n500_nonprognostic_rho0_g1_k1_sine_intercept"
200,"nonprognostic",0,0,0,"linear","ridge",5,2000,"s5_n200_nonprognostic_rho0_g0_k0_linear_ridge"
500,"nonprognostic",0,0,0,"linear","ridge",5,2000,"s5_n500_nonprognostic_rho0_g0_k0_linear_ridge"
200,"nonprognostic",0,1,0,"linear","ridge",5,2000,"s5_n200_nonprognostic_rho0_g1_k0_linear_ridge"
500,"nonprognostic",0,1,0,"linear","ridge",5,2000,"s5_n500_nonprognostic_rho0_g1_k0_linear_ridge"
200,"nonprognostic",0,0,1,"linear","ridge",5,2000,"s5_n200_nonprognostic_rho0_g0_k1_linear_ridge"
500,"nonprognostic",0,0,1,"linear","ridge",5,2000,"s5_n500_nonprognostic_rho0_g0_k1_linear_ridge"
200,"nonprognostic",0,1,1,"linear","ridge",5,2000,"s5_n200_nonprognostic_rho0_g1_k1_linear_ridge"
500,"nonprognostic",0,1,1,"linear","ridge",5,2000,"s5_n500_nonprognostic_rho0_g1_k1_linear_ridge"
200,"nonprognostic",0,0,0,"sine","ridge",5,2000,"s5_n200_nonprognostic_rho0_g0_k0_sine_ridge"
500,"nonprognostic",0,0,0,"sine","ridge",5,2000,"s5_n500_nonprognostic_rho0_g0_k0_sine_ridge"
200,"nonprognostic",0,1,0,"sine","ridge",5,2000,"s5_n200_nonprognostic_rho0_g1_k0_sine_ridge"
500,"nonprognostic",0,1,0,"sine","ridge",5,2000,"s5_n500_nonprognostic_rho0_g1_k0_sine_ridge"
200,"nonprognostic",0,0,1,"sine","ridge",5,2000,"s5_n200_nonprognostic_rho0_g0_k1_sine_ridge"
500,"nonprognostic",0,0,1,"sine","ridge",5,2000,"s5_n500_nonprognostic_rho0_g0_k1_sine_ridge"
200,"nonprognostic",0,1,1,"sine","ridge",5,2000,"s5_n200_nonprognostic_rho0_g1_k1_sine_ridge"
500,"nonprognostic",0,1,1,"sine","ridge",5,2000,"s5_n500_nonprognostic_rho0_g1_k1_sine_ridge"
200,"nonprognostic",0,0,0,"linear","lasso",5,2000,"s5_n200_nonprognostic_rho0_g0_k0_linear_lasso"
500,"nonprognostic",0,0,0,"linear","lasso",5,2000,"s5_n500_nonprognostic_rho0_g0_k0_linear_lasso"
200,"nonprognostic",0,1,0,"linear","lasso",5,2000,"s5_n200_nonprognostic_rho0_g1_k0_linear_lasso"
500,"nonprognostic",0,1,0,"linear","lasso",5,2000,"s5_n500_nonprognostic_rho0_g1_k0_linear_lasso"
200,"nonprognostic",0,0,1,"linear","lasso",5,2000,"s5_n200_nonprognostic_rho0_g0_k1_linear_lasso"
500,"nonprognostic",0,0,1,"linear","lasso",5,2000,"s5_n500_nonprognostic_rho0_g0_k1_linear_lasso"
200,"nonprognostic",0,1,1,"linear","lasso",5,2000,"s5_n200_nonprognostic_rho0_g1_k1_linear_lasso"
500,"nonprognostic",0,1,1,"linear","lasso",5,2000,"s5_n500_nonprognostic_rho0_g1_k1_linear_lasso"
200,"nonprognostic",0,0,0,"sine","lasso",5,2000,"s5_n200_nonprognostic_rho0_g0_k0_sine_lasso"
500,"nonprognostic",0,0,0,"sine","lasso",5,2000,"s5_n500_nonprognostic_rho0_g0_k0_sine_lasso"
200,"nonprognostic",0,1,0,"sine","lasso",5,2000,"s5_n200_nonprognostic_rho0_g1_k0_sine_lasso"
500,"nonprognostic",0,1,0,"sine","lasso",5,2000,"s5_n500_nonprognostic_rho0_g1_k0_sine_lasso"
200,"nonprognostic",0,0,1,"sine","lasso",5,2000,"s5_n200_nonprognostic_rho0_g0_k1_sine_lasso"
500,"nonprognostic",0,0,1,"sine","lasso",5,2000,"s5_n500_nonprognostic_rho0_g0_k1_sine_lasso"
200,"nonprognostic",0,1,1,"sine","lasso",5,2000,"s5_n200_nonprognostic_rho0_g1_k1_sine_lasso"
500,"nonprognostic",0,1,1,"sine","lasso",5,2000,"s5_n500_nonprognostic_rho0_g1_k1_sine_lasso"
250,"nonprognostic",0,1,0,"dictionary","intercept",6,2000,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept"
250,"nonprognostic",0,1,0,"dictionary","ridge",6,2000,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_ridge"
250,"nonprognostic",0,1,0,"dictionary","lasso",6,2000,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_lasso"
