"profile","group","percentile","n_control","n_treated","estimate","lower","upper","width","trial_estimate","trial_lower","trial_upper","trial_width","width_ratio","q","repetition","calibration","reference_disagreement","full_cohort_n_control","full_cohort_n_treated","supported"
"1.2:0.5","1.2",0.5,93,74,6.74761981940257,-1.5660132759168,22.7342541099159,24.3002673858327,6.39759142926723,-1.98307870955435,20.1328967434045,22.1159754529589,1.09876534442353,0.3,1,"intercept",-2.65636400678773,303,251,TRUE
"1.2:0.75","1.2",0.75,93,74,8.8563329872756,3.26522022467206,21.6820980442269,18.4168778195548,9.47817729029948,1.98228104080696,20.8105806806866,18.8282996398796,0.978148753302536,0.3,1,"intercept",-1.28750341052459,303,251,TRUE
"2.2:0.25","2.2",0.25,3,9,5.83811524284239,-7.55813253563775,14.6258419553791,22.1839744910168,7.99510609335247,-2.24871958580984,16.5735277330618,18.8222473188716,1.1786039209449,0.3,1,"intercept",-8.57769996763124,26,22,TRUE
"2.2:0.5","2.2",0.5,97,79,7.1090287389078,3.20247849511994,16.0585965147449,12.856118019625,8.7163833262436,4.25147176198949,14.1925586745212,9.94108691253174,1.29323062284252,0.3,1,"intercept",-5.51716866237995,289,224,TRUE
"2.2:0.75","2.2",0.75,97,79,9.13245615914157,1.60725987744986,15.7211023918708,14.1138425144209,11.4992295947345,3.97088196428607,18.0834742186923,14.1125922544062,1.00008859180455,0.3,1,"intercept",-3.78791434399637,289,224,TRUE
"1.Missing:0.25","1.Missing",0.25,3,2,4.6126295566843,-3.26366593567702,17.9596600974984,21.2233260331755,1.44205228129007,-5.72766367159161,15.9461334894022,21.6737971609938,0.979215864923335,0.3,1,"intercept",0.367636317167664,11,15,TRUE
"1.Missing:0.5","1.Missing",0.5,3,2,6.29266126598267,-2.27927048475357,22.2871128422299,24.5663833269835,5.52192579845372,-2.82548499355835,19.4420442668502,22.2675292604086,1.10323794973797,0.3,1,"intercept",-2.44499250198096,11,15,TRUE
"1.Missing:0.75","1.Missing",0.75,3,2,8.69495899660096,3.13031184806461,21.5959684811987,18.4656566331341,9.26377518419114,1.69457862936725,20.8138138476969,19.1192352183296,0.965815652261605,0.3,1,"intercept",-1.44351552840119,11,15,TRUE
"2.Missing:0.25","2.Missing",0.25,6,3,4.92612275740367,0.676681474592562,12.7427600326084,12.0660785580159,4.1678316295999,0.228834178563423,10.06645045196,9.83761627339656,1.22652461965259,0.3,1,"intercept",-3.66960218332982,18,9,TRUE
"2.Missing:0.5","2.Missing",0.5,6,3,5.48908701161047,0.838296598850991,14.1630396596154,13.3247430607644,5.57674995008654,0.833501981861533,11.464348898053,10.6308469161915,1.25340371898969,0.3,1,"intercept",-4.71242947193122,18,9,TRUE
"1.1:0.25","1.1",0.25,50,44,2.83666757031828,-5.34806659118355,15.8118987018408,21.1599652930244,2.15173869741645,-6.2651421253912,15.6610303999574,21.9261725253486,0.965055130737549,0.3,1,"ridge",-1.89062748848616,189,150,TRUE
"1.1:0.5","1.1",0.5,77,46,7.96491165556652,-4.59507131494534,15.8140552853257,20.409126600271,7.99290336287541,-4.11112684037071,14.9105456471283,19.021672487499,1.07294070033452,0.3,1,"ridge",-4.81921236412414,279,164,TRUE
"1.1:0.75","1.1",0.75,50,44,9.22647673816887,2.59503061392027,20.0320857011031,17.4370550871828,9.38200544908556,1.78488472988925,20.1655405341294,18.3806558042402,0.948663381377301,0.3,1,"ridge",-0.915317125829306,189,150,TRUE
"2.1:0.25","2.1",0.25,74,57,7.09569980612853,-4.00990954389941,14.6799507115346,18.689860255434,7.16665400917022,-2.84761678439242,14.946649220555,17.7942660049474,1.05033049692736,0.3,1,"ridge",-6.29066072724231,261,180,TRUE
"2.1:0.5","2.1",0.5,74,57,9.92934297601455,-1.79615199482997,17.3535951597294,19.1497471545593,10.3531438613912,-0.402421025215028,18.7460313884909,19.1484524137059,1.00006761595274,0.3,1,"ridge",-6.33875938538336,261,180,TRUE
"2.1:0.75","2.1",0.75,74,57,12.4202695198428,1.22376148253548,17.9592439849926,16.7354825024572,13.2406024789602,2.18584846955319,19.0650970560463,16.8792485864932,0.991482672744624,0.3,1,"ridge",-4.29164272517005,261,180,TRUE
"1.2:0.25","1.2",0.25,93,74,4.24478962078119,-4.24105209545271,16.5477428147965,20.7887949102492,3.71892390585926,-4.84463422680851,16.1793113150206,21.0239455418291,0.98881510460955,0.3,1,"ridge",-2.30833064635866,303,251,TRUE
"1.2:0.5","1.2",0.5,93,74,6.81101521760336,-1.7196985042126,19.583828037222,21.3035265414346,6.59473276800049,-1.96460287233779,18.9333302806043,20.8979331529421,1.01940830155423,0.3,1,"ridge",-2.59296860858694,303,251,TRUE
"1.2:0.75","1.2",0.75,93,74,9.29895368221403,2.73601936816807,20.0206485478309,17.2846291796629,9.46646935826232,1.90028989668811,20.1864899438475,18.2862000471594,0.945228048205012,0.3,1,"ridge",-0.844882715586158,303,251,TRUE
"2.2:0.25","2.2",0.25,3,9,7.91657279903718,-3.62290716200201,15.307785784828,18.93069294683,8.08169717586897,-2.42126628179738,15.9281150304489,18.3493813122463,1.03168017627906,0.3,1,"ridge",-6.49924241143646,26,22,TRUE
