"q","calibration","subgroup","metric","repetitions_recorded","repetitions_finite","median","p10","p90","full_30_repetitions"
0.5,"lasso","free_lunch_Missing","estimate",1,1,12.0563464717108,12.0563464717108,12.0563464717108,FALSE
0.5,"ridge","free_lunch_1","estimate",1,1,12.5190938691514,12.5190938691514,12.5190938691514,FALSE
0.5,"ridge","free_lunch_2","estimate",1,1,11.7475442020891,11.7475442020891,11.7475442020891,FALSE
0.5,"ridge","free_lunch_Missing","estimate",1,1,12.2220158637634,12.2220158637634,12.2220158637634,FALSE
0.1,"intercept","free_lunch_1","trial_estimate",1,1,7.94358066099284,7.94358066099284,7.94358066099284,FALSE
0.1,"intercept","free_lunch_2","trial_estimate",1,1,16.5548165835138,16.5548165835138,16.5548165835138,FALSE
0.1,"intercept","free_lunch_Missing","trial_estimate",1,1,9.25119496809709,9.25119496809709,9.25119496809709,FALSE
0.1,"lasso","free_lunch_1","trial_estimate",1,1,7.94435685508045,7.94435685508045,7.94435685508045,FALSE
0.1,"lasso","free_lunch_2","trial_estimate",1,1,16.2633234848162,16.2633234848162,16.2633234848162,FALSE
0.1,"lasso","free_lunch_Missing","trial_estimate",1,1,9.05112947981585,9.05112947981585,9.05112947981585,FALSE
0.1,"ridge","free_lunch_1","trial_estimate",1,1,7.94435685508045,7.94435685508045,7.94435685508045,FALSE
0.1,"ridge","free_lunch_2","trial_estimate",1,1,16.2633234848162,16.2633234848162,16.2633234848162,FALSE
0.1,"ridge","free_lunch_Missing","trial_estimate",1,1,9.05112947981585,9.05112947981585,9.05112947981585,FALSE
0.2,"intercept","free_lunch_1","trial_estimate",1,1,10.5034064490041,10.5034064490041,10.5034064490041,FALSE
0.2,"intercept","free_lunch_2","trial_estimate",1,1,9.09959712503203,9.09959712503203,9.09959712503203,FALSE
0.2,"intercept","free_lunch_Missing","trial_estimate",1,1,8.71980154792188,8.71980154792188,8.71980154792188,FALSE
0.2,"lasso","free_lunch_1","trial_estimate",1,1,10.479912874444,10.479912874444,10.479912874444,FALSE
0.2,"lasso","free_lunch_2","trial_estimate",1,1,9.32268240502448,9.32268240502448,9.32268240502448,FALSE
