"q","calibration","metric","repetitions_recorded","repetitions_finite","median","p10","p90","full_30_repetitions"
0.5,"ridge","borrowing_estimate",1,1,0.535337890041388,0.535337890041388,0.535337890041388,FALSE
0.1,"intercept","borrowing_lower_bound",1,1,-35.9568170395512,-35.9568170395512,-35.9568170395512,FALSE
0.1,"lasso","borrowing_lower_bound",1,1,-9.91850872475749,-9.91850872475749,-9.91850872475749,FALSE
0.1,"ridge","borrowing_lower_bound",1,1,-3.99507719080508,-3.99507719080508,-3.99507719080508,FALSE
0.2,"intercept","borrowing_lower_bound",1,1,-22.4144805113378,-22.4144805113378,-22.4144805113378,FALSE
0.2,"lasso","borrowing_lower_bound",1,1,-6.14235286815263,-6.14235286815263,-6.14235286815263,FALSE
0.2,"ridge","borrowing_lower_bound",1,1,-6.54079228283647,-6.54079228283647,-6.54079228283647,FALSE
0.3,"intercept","borrowing_lower_bound",1,1,-41.2895094189227,-41.2895094189227,-41.2895094189227,FALSE
0.3,"lasso","borrowing_lower_bound",1,1,-5.75133030493217,-5.75133030493217,-5.75133030493217,FALSE
0.3,"ridge","borrowing_lower_bound",1,1,-4.25605804673769,-4.25605804673769,-4.25605804673769,FALSE
0.4,"intercept","borrowing_lower_bound",1,1,-45.7376025790299,-45.7376025790299,-45.7376025790299,FALSE
0.4,"lasso","borrowing_lower_bound",1,1,-3.04011868924114,-3.04011868924114,-3.04011868924114,FALSE
0.4,"ridge","borrowing_lower_bound",1,1,-0.578462232105774,-0.578462232105774,-0.578462232105774,FALSE
0.5,"intercept","borrowing_lower_bound",1,1,-35.6663774451004,-35.6663774451004,-35.6663774451004,FALSE
0.5,"lasso","borrowing_lower_bound",1,1,-1.46575916626041,-1.46575916626041,-1.46575916626041,FALSE
0.5,"ridge","borrowing_lower_bound",1,1,-1.19686522643869,-1.19686522643869,-1.19686522643869,FALSE
0.1,"intercept","supported_profiles",1,1,17,17,17,FALSE
0.1,"lasso","supported_profiles",1,1,17,17,17,FALSE
0.1,"ridge","supported_profiles",1,1,17,17,17,FALSE
0.2,"intercept","supported_profiles",1,1,15,15,15,FALSE
0.2,"lasso","supported_profiles",1,1,15,15,15,FALSE
0.2,"ridge","supported_profiles",1,1,15,15,15,FALSE
0.3,"intercept","supported_profiles",1,1,17,17,17,FALSE
0.3,"lasso","supported_profiles",1,1,17,17,17,FALSE
0.3,"ridge","supported_profiles",1,1,17,17,17,FALSE
0.4,"intercept","supported_profiles",1,1,17,17,17,FALSE
0.4,"lasso","supported_profiles",1,1,17,17,17,FALSE
0.4,"ridge","supported_profiles",1,1,17,17,17,FALSE
0.5,"intercept","supported_profiles",1,1,17,17,17,FALSE
0.5,"lasso","supported_profiles",1,1,17,17,17,FALSE
0.5,"ridge","supported_profiles",1,1,17,17,17,FALSE
