"setting","scenario","n_r","n_o","calibration","variant","rho","gamma","kappa","treated_nuisance","method","target","interval_method","attempted","successful","fit_failures","unavailable","target_unavailable","interval_attempted","interval_successful","bootstrap_draws_attempted","bootstrap_draws_successful","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse","mean_width","width_mcse","width_ratio","width_ratio_mcse","width_difference","width_difference_mcse","ise_difference","ise_difference_mcse","integrated_rmse_ratio","integrated_rmse_ratio_mcse","ise_increase_frequency","width_increase_frequency","variance_ratio","variance_ratio_mcse","control_loss_reduction","control_loss_reduction_mcse","pseudo_variance","control_loss","imputation_mse","imputation_mse_mcse","imputation_r_squared","imputation_r_squared_mcse","mean_embed_dim","coverage_scope"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge",1,200,2000,"ridge","nonprognostic",0,1,0,"dictionary","A","profile_plus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0253456320881709,0.0154575054807657,0.219523032340211,0.0127233753236138,,,,,,,,,-0.0279680508760215,0.00386771168011151,0.831568932785015,0.0197037382127282,0.285,,0.825767465506029,0.00364344527419043,0.347500369512816,0.0119951143309168,4.34531486193273,1.05171463155571,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge",1,200,2000,"ridge","nonprognostic",0,1,0,"dictionary","A","profile_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.00903156382687477,0.0104195676771412,0.147263301165924,0.00817776469283335,,,,,,,,,-0.0279680508760215,0.00386771168011151,0.831568932785015,0.0197037382127282,0.285,,0.825767465506029,0.00364344527419043,0.347500369512816,0.0119951143309168,4.34531486193273,1.05171463155571,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge",1,200,2000,"ridge","nonprognostic",0,1,0,"dictionary","racer","above_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0230699438677477,0.0160795091726091,0.227999549870681,0.0128666561470748,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge",1,200,2000,"ridge","nonprognostic",0,1,0,"dictionary","racer","average","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0142050182419754,0.0116442502711499,0.164875428291521,0.00814422191145472,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge",1,200,2000,"ridge","nonprognostic",0,1,0,"dictionary","racer","below_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.00534009261620534,0.0153528564679222,0.216644516968118,0.0113701784608219,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge",1,200,2000,"ridge","nonprognostic",0,1,0,"dictionary","racer","integrated","not computed (B = 0)",200,200,0,0,0,0,0,0,0,,,0.301098343387102,0.0095450910583367,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge",1,200,2000,"ridge","nonprognostic",0,1,0,"dictionary","racer","profile_minus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0042449856621707,0.0171603893996125,0.242114299057681,0.0131072036154434,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge",1,200,2000,"ridge","nonprognostic",0,1,0,"dictionary","racer","profile_plus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0241650508217792,0.0180955651952098,0.256410600694087,0.0155480954362924,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge",1,200,2000,"ridge","nonprognostic",0,1,0,"dictionary","racer","profile_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.014205018241975,0.0116442502711499,0.164875428291521,0.00814422191145471,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept",1,500,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","above_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.00459853823588114,0.00811003525908419,0.114498507687747,0.00624060942292582,,,,,,,,,-0.00286744983578507,0.000756744699533473,0.941355752937332,0.0144195966537764,0.425,,0.930169667266307,0.00172977380524889,0.133558428321464,0.00461905130811999,4.32361153169017,1.03295421660701,,,,,,"conditional on successful intervals"
